A,B,C,D
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",put a new kitchen in so cos we''re doing bits to it you know doing it up a bit </unclea> </u><u> doing it up?,right,yeah so it weren''t </u><u> yeah so </u><u> er it was o liveable but it obviously needed a bit doing to it? </u><u> oh yeah yeah er it was
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",oh right he said I''ll you know er so we set the thing up and so yeah that''s fine it''s filming so then I sort of said,right,yeah I''m gonna do it </unclea> and then he came and he </unclea> behind me climbed on the steps of
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",<u> special kind of person </u><u> yeah absolutely unbelievable they were they were incredible they just come in and they say,right,er we''re gonna come and reassess and we''ll see what needs doing and we''ll keep you in touch and er these are the numbers you
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",I''ve not got </u><u> mm </u><u> and erm he''s and it''s quiet during the day </u><u> yeah </u><u> I''ll text you like a few days before and I''ll say,right,I''ve got a quiet time </u><u> oh yeah </u><u> I''ll nip over and I''ll do some for you </u><u> oh yeah definitely that''d be really lovely </u><u> and we can
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",yeah going to the doctor and I kept thinking </u><u> so you went there first before here? </u><u> yeah yeah and I thought,right,I need to go to John Lewis cos I''ve got a new Ipad Air and I need a new cover thing for it </u><u> oh yeah </u><u> so I kept thinking right yeah I
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",right I need to go to John Lewis cos I''ve got a new Ipad Air and I need a new cover thing for it </u><u> oh yeah </u><u> so I kept thinking,right,yeah I can take my stuff and I go to the doctor and I go straight up town </unclea> and then I but now I''ve ac I
"Discussing|Explaining|Anecdote telling,Music, elitism, magazines, dreams, Christmas dinner",I don''t they were I don''t think they were that that rude about it at all actually </u><u> no no no no I think you''re,right,I think she meant like oh you don''t have one I didn''t realize I would could''ve brought you one </u><u> Cos
"Discussing|Explaining,Dogs, property, economics, health",some of them you have to be over fifty-five and no pets to go on them like there''s certain types </u><u> mm,right,so they don''t tick either of those boxes </u><u> well that''s those types or the other type of site isn''t the type of site they
"Discussing|Explaining,Dogs, property, economics, health",want </u><u> yeah but how do you have your own land? Like really </u><u> you buy it </u><u> what either you buy it like outright </u><u> see also they think,right,they think you can dig dig a massive well get somebody to come around and dig a massive well and
"Discussing|Explaining,Dogs, property, economics, health",are o reopening some old old mines and I wanted to have a look at what mines they were opening </u><u> mm,right,there are a lot of mines that are reopening in the UK yeah </u><u> tin and copper tin and copper erm I think
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",''s like I was up here having conversations with erm what I can''t remember the root of it but like er,right,let me get it in my head cos I need to remember it''s something happened </u><u> </u><u> er cos er if I remember who it
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",<u> it''s quite expensive so people are paying like a hundred quid a hundred and something quid for three nights in this place,right,? and obviously people are also having to book time off work and they''re having to book the Friday and the Monday off work
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",<u> I think so I mean what I don''t really understand is like </u><u> or sh sh or they should allow what I would do in that situation like,right,you know there''s er this m morning or till three o''clock </u><u> do what you like </u><u> you can do what you like </u><u> yeah </u><u> you you
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",buffet </u><u> yeah or you could even like cos there''s fifteen of us you could just like divide people into groups and sort of say,right,on night one these people are cooking so betwee between now and then like think about what you wanna cook and then send us a
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",to actually get cos you like support bands are the ones </u><u> yeah </u><u> you that you like so you pay big to see someone big and like like,right,support band </u><u> yeah </u><u> like the first one on are they any good? like sweetness like </u><u> yeah </u><u> crack on </u><u> that''s where you
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",lad from uni he lives in we''re all er so ha some of us are south </u><u> yeah </u><u> and but most of his mates are so we were like,right,we''ll sort our own flights out </u><u> yeah </u><u> fine so they they were coming out with flights that were like that just sounds
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",next year cos it''s a leap year </u><u> no way </u><u> and we''re like oh just like oh god don''t encourage this behaviour </u><u> mm I told,right,said if you ever did that I would say no </u><u> because it would be robbing you of your opportunity </u><u> yeah like </u><u> yeah </u><u> I''ve I I
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",or something? </u><u> right </u><u> they''re going over to some sort of wedding </u><u> they''re going to Australia anyway </u><u> yeah </u><u> and they were like,right,well we might as well </u><u> yeah </u><u> go and enjoy it </u><u> so they''re going to this wedding first </u><u> yeah </u><u> and then like they''re planning to fly
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",there''s something about him that I just don''t don''t trust and I feel bad for saying that but I just </u><u> but you''re,right,to have that as a as a friend </u><u> yeah </u><u> you''re allowed to have those reservations </u><u> and now she''s talking about him
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",</unclea> she said the more I think about it the more I''m almost certain he''s gonna propose to me shit yeah and I''m,right,oh right okay like why? she said oh well ''s quite the planner like he always has like he always has a
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",so she thinks he''ll want to incorporate this stag do with this trip to Vegas so that he can basically gets the Vegas stag do,right,? she also said he wants to have his first kid by the time he''s like thirty or something which basically does
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",but like you just I just think fuck it''s annoying </u><u> yeah </u><u> and like even little things like my washing,right,? and it''s cos it''s I should feel so grateful about it but it gets done all the time for me
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",tea </u><u> yeah </u><u> oh man </u><u> it''s lovely yeah </u><u> like we used to go like and I like and I like but it''s lovely but then you''re like,right,I''ve got to go </u><u> yeah </u><u> </u><u> I I I get like thinks it''s really weird but I I there''s a moment like
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",really happy and then there''ll be a moment where I''ve just had enough and it will be such an instant moment and I''ll be like,right,we''ll go and I''ve literally just like it''s just got to a point where I feel like no I''ve had enough
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",alright oh yeah sorry I didn''t invite you </u><u> what I said </u><u> it''s awkward </u><u> I said like like so tonight,right,? I''ve popped in to see you </u><u> yeah </u><u> imagine if you lived next d she''d be like well she would I know she </u>
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",make we told the guy on the phone like the make and model of the car and age and mileage and all that kind of stuff he was like,right,well we''ve got this valued as like five eight so what did you pay for it? and I was like five five so I already knew I''d got a
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",like well what would you like to know? he was like how much how much did you pay? if you paid five and your car I''ll be happy,right,I paid four six and my car and he was like no you didn''t I''m like yes I fucking did yes I did he couldn''t believe it so I I felt
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",<u> it''s a lot more affordable </u><u> twelve pound a month is erm I t that''s alright </u><u> yeah that would be about,right,that would be a hundred and forty-four yeah? </u><u> yeah that''s right I dunno I I oh yeah I dunno hard
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",does she pay? like thirty thirty quid a month? </u><u> it''s not a lot </u><u> maybe? er I''m th that sounds about,right,and so basically you you can either buy a erm a gym membership or a classes membership so you what it''s the sa
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",and so basically you you can either buy a erm a gym membership or a classes membership so you what it''s the sa same price,right,is this got really weird acoustics? like I can hear myself like ringing in the background </u><u> dunno </u><u> oh </u>
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",sorry </u><u> on Friday so if we stay in tomorrow go out Thursday to Pula stay in Friday </u><u> it''s fine by me </u><u> a day about sounds about,right,don''t it? are those things up on the wall up there </u><u> it''s up to you guys I''m easy it''s just </u><u> it says something about those in the
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",</u><u> and was making his like special curry thing that with all home grown ingredients and I was like,right,bugger this so I was like </u><u> did you tell you her you''d made your own pasta? </u><u> I was like I had this this this pasta is
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",''m just getting bitten </u><u> you have it''s in the erm not not not the repellent you''ve brought the itchy stuff </u><u> I''m just thinking,right,what what''s the difference between Ebola mosquito and a normal mosquito? is it just a different like species of
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",do what? </u><u> in the height of the IRA and the Northern Ireland thing I once flew from Manchester to Belfast </u><u> you feel my arm got a,right,heat rash I''m gonna nip nip to the bathroom </u><u> drove to Dublin drove and then flew from Dublin to Bristol </u><u> yeah </u><u> I can''t
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",for it not to be too risky so he''s gonna work for them for a year while he hands over all his clients </u><u> right,right,as a retirement phase thing? </u><u> yeah </u><u> is it strong white coffee? </u><u> mm you''d want sugar in it wouldn''t you? </u><u> yeah
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",cash money money oh I just remember I was gonna tell you could you remi alright do you know Bill Gates,right,? I don''t know if I told you about this but he commission there''s like this thing called the Bill Gates Foundation it had
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",you </u><u> you''re welcome </u><u> oh stroking a cat that''s not a good idea that''s not a smart idea my friend </u><u> is it,right,? </u><u> er er I''m just looking at how many things we had there''s eight things there we had four meals two
"Discussing|Explaining|Inquiring|Anecdote telling|Telling jokes,Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories, secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles",about it but yeah probably </u><u> I figured you were ninety-five b cos I''m ninety-six </u><u> yeah you''re ninety-six,right,? no? </u><u> ninety-five </u><u> oh yeah cos you''re older than </u><u> she''s twenty-five god </u><u> oh yeah </u><u> </u><u> you''re
"Discussing|Explaining|Inquiring|Anecdote telling|Telling jokes,Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories, secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles",then there was like erm a waterproof sheet that you could put over if it started raining and when we were like,right,at the end it started chucking it down and it was like leaking through the tent and I was so tired and
"Discussing|Explaining|Inquiring|Anecdote telling|Telling jokes,Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories, secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles",''s a </u><u> </u><u> I was like that might be difficult </u><u> so the point is like write down </unclea> </u><u> okay,right,you''ve got to sleep with </u><u> I know </u><u> and then you win </u><u> </u><u>
"Discussing|Explaining|Inquiring|Anecdote telling|Telling jokes,Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories, secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles",and two he would he wear that? </u><u> </u><u> bought er then I got my present and erm has got a daughter,right,my dad''s partner''s got a daughter so we''re all getting presents and I got and I opened mine and it was a Ted
"Discussing|Explaining|Inquiring|Anecdote telling|Telling jokes,Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories, secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles",in Australia? </u><u> Canberra </u><u> where roughly is is that? </u><u> </u><u> </unclea> </u><u> Canberra is the capital though,right,? </u><u> yeah </u><u> is that where ''s going? </u><u> it is actually yes </u><u> that''s so cool </u><u> oh </u><u> he might be going to that one or he might be
"Discussing|Explaining|Inquiring|Anecdote telling|Telling jokes,Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories, secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles",? </u><u> you count points? </u><u> I don''t know </u><u> oh </u><u> what do you mean do you count points? yeah </u><u> I once </u><u> </u><u> got seven,right,in an episode </u><u> that''s very good </u><u> that is yeah </u><u> I don''t know how many </unclea> </u><u> that''s the best I''ve ever we just
"Discussing|Explaining|Inquiring|Anecdote telling|Telling jokes,Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories, secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles",she buzzed in and she buzzed in really quickly </u><u> </u><u> and I''m so proud of myself </u><u> </u><u> I''ve got my seven it was,right,after I''d finished A levels so like all my biology A level was fresh in my mind and the biology questions I got I always
"Discussing|Explaining|Inquiring|Anecdote telling|Telling jokes,Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories, secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles",mouths </u><u> chance </u><u> don''t open when I press the thing </u><u> </u><u> I don''t like it </u><u> are you sure you''re pressing the,right,thing? </u><u> ye I don''t know well then sometimes I press it and the mouth just stays open and then the things </u><u> </u><u> roll out
"Discussing|Explaining|Inquiring|Anecdote telling|Telling jokes,Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories, secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles",then you''ve got this specific </unclea> </u><u> this is what I learnt from The Family Stone </u><u> which is your name in the,right,ha top left hand corner your date in the top right hand corner and title and then there''s a long line underneath I don''t
"Discussing|Explaining|Inquiring|Anecdote telling|Telling jokes,Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories, secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles",<u> this is what I learnt from The Family Stone </u><u> which is your name in the right ha top left hand corner your date in the top,right,hand corner and title and then there''s a long line underneath I don''t think everybody did god forbid you forgot your
"Discussing|Explaining|Inquiring|Anecdote telling|Telling jokes,Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories, secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles",it all capitals or just one capital </u><u> oh you just do V to start with </u><u> I could have had the whole thing in capitals </u><u> but that''s not,right,that''s grammatically </u><u> </u><u> incorrect </u><u> </u><u> </u><u> </u><u> on the back like on the back
