A,B,C,D
"Discussing|Explaining|Inquiring|Anecdote telling|Telling jokes,Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories, secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles",in Australia? </u><u> Canberra </u><u> where roughly is is that? </u><u> </u><u> </unclea> </u><u> Canberra is the capital though,right,? </u><u> yeah </u><u> is that where ''s going? </u><u> it is actually yes </u><u> that''s so cool </u><u> oh </u><u> he might be going to that one or he might be
"Discussing|Explaining|Inquiring|Advising,Roads, cricket, bikes",it seems that the bus in Germany but it''s got a British registration </u><u> okay </u><u> twenty degrees </u><u> wow </u><u> wow </u><u> this is March,right,? </u><u> yeah it''s insane </u><u> it was only officially the start of spring a few days ago </u><u> yeah twenty-first
"Discussing|Explaining|Advising,work, food, TV",somebody to be teacher for each of them and I''ll just go round and answer questions,right,? </u><u> so you''re gonna get someone to explain that </u><u> mm </u><u> and then they and then they can check their answers for that </u><u> I''m not sure
"Discussing|Explaining|Inquiring|Complaining|Anecdote telling|Making arrangements,Sandwiches, food, friends and schoolmates, military/army/war, racism, school prefects, TV shows, card-games, movies, teachers, family, international politics, holiday stories,",need a second to organise this </u><u> three nines </u><u> three? </u><u> three nines? </u><u> okay </u><u> ten </u><u> ten yeah? </u><u> mm </u><u> ten? is that right bro? </u><u> yes ten </u><u> is that,right,? </u><u> erm </u><u> how many cards have you got there? </u><u> I''ve got too many cards that''s how many </u><u> wait wait wait cheat </u><u> was it a ten
"Discussing,(Unknown)",hormones that the chicken made </u><u> yeah that''s right </u><u> </unclea> isn''t it? mm </u><u> but that''s all but I mean </u><u> mm </u><u> turkeys,right,? what they have for Christmas right? </u><u> yeah </u><u> they don''t get them in till march April do they? </u><u> that''s right yeah </u>
"Discussing,(Unknown)",that''s right </u><u> </unclea> isn''t it? mm </u><u> but that''s all but I mean </u><u> mm </u><u> turkeys right? what they have for Christmas,right,? </u><u> yeah </u><u> they don''t get them in till march April do they? </u><u> that''s right yeah </u><u> and there''s a lot of </u><u> and then </u><u> they''re
"Discussing,(Unknown)",<u> oh right yeah </u><u> and then they''d have and that was in the days when they had this big old er open Rolls-Royce,right,? </u><u> yeah </u><u> and I can remember driving to in </u><u> yeah </u><u> sitting in the back of this Rolls-Royce </u>
"Discussing,(Unknown)",quite interesting ain''t it? when you''re sort of looking at the innards of something </u><u> mm </u><u> well I find er w we k I killed a a hen,right,? </u><u> yeah </u><u> and inside this hen it had every egg it was going to lay </u><u> mm </u><u> and they come they start off fairly big when there''s hardly
"Discussing,(Unknown)",there you go then have that tonight </u><u> no I''ll have pork pie tonight homemade pork pie look </u><u> </u><u> erm on the computer,right,? </u><u> yeah </u><u> the erm I forget what it''s called the Iobit </u><u> oh yeah </u><u> Systemcare thing </u><u> yeah </u><u> did it update? </u><u> yeah </u><u> no I mean not update did
"Discussing,(Unknown)",yeah </u><u> well because he er he''s he has to deal with different things I mean he does training courses for like the fire brigade,right,? </u><u> mm </u><u> and then he does training courses for schools and and St John''s Ambulance and </unclea> </u><u> I mean he has to
"Discussing,(Unknown)",yeah mm </u><u> you know but I mean quite a few people who earn a lot of money they''d rather pay it than have the </u><u> yeah </u><u> the kids in debt,right,? </u><u> yeah that''s right yeah </u><u> mm yeah </u><u> you know there''s a lot of people like </u><u> which is what he''s done </u><u> that''s what he''s done </u><u> there''s
"Discussing,(Unknown)",you took your grant out </u><u> yeah </u><u> like er you know your loan cos it started out at nought percent </u><u> yeah that''s right </u><u> interest,right,? </u><u> mm </u><u> </unclea> you pay it off and then they said ah well then it''s something like two percent </u><u> yeah </u><u> straight two
"Discussing,(Unknown)",a computer now </u><u> you can you </u><u> you can get a card er </u><u> oh yeah </u><u> a telly ca er key </u><u> yeah </u><u> er erm receiver </u><u> yeah </u><u> on the back of your computer,right,? and also you can watch live telly streamed sometimes </u><u> oh you can </unclea> </u><u> you know BBC have started
"Discussing,(Unknown)",or you know or </u><u> yeah </unclea> </u><u> or recorded </u><u> yeah </u><u> mm </u><u> stuff what''s already been shown but it''s not been shown live,right,? </u><u> mm </u><u> and they don''t point that out you know in the letters and that </u><u> no </u><u> and you have to really suss out and I''m sure a lot of
"Discussing,(Unknown)",not allowed either </u><u> well it is it is if it''s not plugged in and it''s detuned </u><u> yeah </u><u> cos people use a television to watch videos,right,? </u><u> videos yeah </u><u> that''s right yeah </u><u> they connect the video player up to the television </u><u> yeah </u><u> mm </u><u> but what they have to do is to
"Discussing,(Unknown)",tell you what they look got this box of a tin of Quality Street so I''m told </u><u> oh yeah yeah </u><u> from one of her students,right,? </u><u> yeah </u><u> mm </u><u> and they are rubbish they''re really </u><u> are they? </u><u> you know I mean they''re just sugar </u><u> yeah </unclea> </u><u> mm
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",off </u><u> oh crikey yeah </u><u> and er investigated it and they''re all they''re sort of hanging on the tree,right,? in his wood </u><u> oh </u><u> so he immediately got a great strop to this like </u><u> well he would do yeah </u><u> and er I forget
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",stop him and you like typical </u><u> yeah </u><u> brutal </u><u> yeah </u><u> farmer type bloke </u><u> yeah I know the sort </u><u> and er a real nasty type,right,? and er he started phoning up telling er you know what y oh you know you''re th that''s on
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",green and </u><u> </u><u> you know like this and er he was crouched in this hedge staring over this farmer''s field,right,? </u><u> </unclea> </u><u> looking at er </u><u> the peewits or something </u><u> stone-curlews </u><u> stone-curlews </u><u> stone-curlews that''s
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",you know cos he left work early </u><u> yeah </u><u> before he gets the state''s pension so he''s living off </u><u> off his his </u><u> his his works pension,right,? </u><u> works pension yeah </u><u> which is not that much you know I mean that''s more than I get you know </u><u> mm </u><u> but it''s not that
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",he gets a state pension and you get a pension </u><u> that''s quite a lot then </u><u> yeah but </u><u> so </u><u> when he gets his pension he''ll be alright,right,? </u><u> yeah </u><u> but I explained to him when he gave up work </u><u> mm </u><u> I said basically if you''re giving up work that
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",<u> yeah </u><u> he he always spends money on stuff which is not necessary </u><u> yeah yeah </u><u> mm </u><u> I mean like he made them four chairs,right,? </u><u> yeah </u><u> well they cost him a fortune to do that </u><u> did they? I thought he had </u><u> oh </u><u> all the wood there </u><u> no no no no no no no no
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",quid </u><u> yeah </u><u> and then you know he he makes these er you know Christmas present Photobox books this is,right,? </u><u> yeah we got one </u><u> mm </u><u> and </u><u> yeah </u><u> you know they''re nice I mean I like them </u><u> they are nice yeah </u><u> yeah </u><u> you know I''ve got sort of six of
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",<u> that''s right </u><u> whether he appreciate it or not it''s a different thing </u><u> yeah </u><u> well I gave him an A3 map,right,? </u><u> yeah? </u><u> which was a map of from fifteen sixty </u><u> oh wow </u><u> it was yeah </u><u> mm </u><u> it was the it was in the
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",the print was done in something like sixteen hundred </u><u> wow </u><u> and there was a picture of it on the EDP,right,? </u><u> oh so you go you got </u><u> so I so I </u><u> yeah </u><u> copied that off of off off the scr off the er erm EDP site </u><u> yeah </u><u> right </u><u> right? and then
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",only had a two hundred and fifty in you see </u><u> yeah </u><u> and then today I looked and I the one terabyte ones the Seagate Barracudas,right,? </u><u> yeah </u><u> I mean they''re only about forty quid now </u><u> wow </u><u> it''s incredible innit? </u><u> yeah </u><u> that is innit? </u><u> and </u><u> that''s like I''ve told
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",was something I wanted to ask you </u><u> that was a good one </u><u> I don''t know whether you could about web pages,right,? </u><u> yeah </u><u> well that''s another thing ''s gonna </u><u> update it is he? or get rid of it? </u><u> well no he
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",messing around with ''s website </u><u> yeah </u><u> and now I''ve got a bookmark link on my bookmarks,right,? </u><u> oh right yeah </u><u> so when I click ''s website almost instantly I get this page come up this
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",thing I wanted to ask you you know when you it gives you your files </u><u> yeah the one the website yeah </u><u> your files,right,? </u><u> yeah yeah </u><u> what''s the WWW folder for? </u><u> well you''ve got one haven''t you you''ve put one you made it did you? </u><u> I don''t know cos
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",is is that I thought that was </u><u> I think that''s the backup folder which </u><u> I''d forgotten which was how to do it,right,? </u><u> yeah </u><u> so when I renewed these files I stuck them in the WWW right? and then nothing was happening </u><u> oh right yeah </u><u> and then but
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",which </u><u> I''d forgotten which was how to do it right? </u><u> yeah </u><u> so when I renewed these files I stuck them in the WWW,right,? and then nothing was happening </u><u> oh right yeah </u><u> and then but it weren''t no it wasn''t nothing would happen I
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",connected </u><u> weird </u><u> it is weird and I was thinking that perhaps it''s something to do with the link on my computer,right,? </u><u> yeah </u><u> or maybe links to this server is not but I''m not I don''t know </u><u> oh I don''t think
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",to the loo </u><u> fabric pictures? </u><u> mm </u><u> no yes no </u><u> I should be yeah </u><u> </u><u> yes she is </u><u> cos I''ve still got loads of this material,right,? </u><u> oh right yeah oh I''m always </u><u> I''ve got </u><u> looking for looking for material that inspires you </u><u> I''ve got erm </u><u> doesn''t it? </u><u> I''ve got
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",''re thinking of of of er erm putting houses all the way from starting near,right,? </u><u> yeah </u><u> across towards road right across all that land what belong to </u><u> all up round there </u><u> you know
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",to leave early to get to work and they''d say oh well we''ll leave the stuff for your breakfast down in the bar,right,? </u><u> yeah </u><u> and so you''d get up and you''d be sitting in the bar and there''d be a kettle there and </u><u> </u><u> a bowl of cornflakes </u>
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",know like you know hotel guy you know like </u><u> yeah </u><u> where the train station is or a hotel Marie where the in the main town square,right,? </u><u> yeah </u><u> and slowly all these little places are all closed down now </u><u> yeah </u><u> yeah </u><u> and what they''ve done they''ve built these
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",and I don''t know what </u><u> we''ll go out for breakfast then </u><u> I don''t know what no but that was the worst one,right,? </u><u> yeah no you can''t tell no </u><u> put the kettle on again </u><u> I mean other ones </u><u> yeah yeah right </u><u> you''ll want that </u><u> yeah </u><u> other places we
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",fire </u><u> day Saturday weren''t it? </u><u> yeah it was nice </u><u> yeah </u><u> yes </u><u> and er I sort of you know trimmed ''s hedge,right,? </u><u> yeah </u><u> and I''d trimmed enough to fill the wheelie bin up </u><u> oh I see yeah </u><u> you know and and </u><u> yeah </u><u> so I only sort of do a bit at a time </u>
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",n''t have cats I''ve never </u><u> and bought </u><u> again would I have a cat </u><u> bought a new lawnmower,right,? </u><u> yeah? </u><u> and er I advised her on this lawnmower to buy which is you know it wasn''t an expensive one
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",don''t run right </u><u> don''t it? </u><u> no so it''s you know cos she specifically wanted one with a throttle on it,right,? </u><u> yeah </u><u> you know? </u><u> yeah </u><u> cos mine has got a throttle on it and it''s absolutely brilliant </u><u> yeah </u><u> and the one you had your four it
"Discussing|Explaining|Inquiring,Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts",are yeah </u><u> and I''ll tell you what happened with mine as well you fill the tank up with a whole a litre of petrol,right,? </u><u> yeah </u><u> and that lasts for ages </u><u> yeah </u><u> you know </u><u> </u><u> and like with ''s old lawnmower she''d get
"Discussing|Explaining|Inquiring|Complaining|Anecdote telling|Telling jokes,family history, languages, literature, theatre, art, music, places, people, reminiscing, cutlery, food and drink, religion, hair and beauty, weather, climate change, transport, technology, injury, museums,",</unclea> </u><u> </unclea> I went out through these doors that said these doors are alarmed </u><u> </u><u> right?,right,? </u><u> oh no </u><u> and so I went through the doors down the back fire escape er this thing is you''re out here and all I could hear was what
"Discussing|Explaining|Inquiring|Anecdote telling|Making arrangements|Telling jokes,DISCUSSING NEW HOUSE AND FEATURES",you know the christening is in case it you know it was invented in case your kid your child dies we''ve got him covered,right,? they''re going to heaven but you know </u><u> and the the godparents are there if something happens to the parents </u><u> okay but you
"Discussing|Explaining|Inquiring|Anecdote telling|Making arrangements|Telling jokes,DISCUSSING NEW HOUSE AND FEATURES",to heaven but you know </u><u> and the the godparents are there if something happens to the parents </u><u> okay but you were in Singapore,right,? you didn''t er you know you didn''t have family or friends around </u><u> oh we had friends yeah the </u><u> no </u><u> the godparents
"Discussing|Explaining|Inquiring|Announcing|Anecdote telling|Making arrangements,politics, house decoration, university, exams, summer plans, travel, family, Scotland, plans for the future, animals, gardens, birds",to and increased all the funding to the like the like poly universities in and so if </u><u> is that,right,? </u><u> lost like I can''t remember it was like two million pounds funding </u><u> that''s very </unclea> </u><u> and
"Discussing|Explaining|Inquiring|Announcing|Anecdote telling|Making arrangements,politics, house decoration, university, exams, summer plans, travel, family, Scotland, plans for the future, animals, gardens, birds",Co-op and erm you might have easier customers cos you''ve got can''t buy alcohol past ten PM </u><u> ten? </u><u> is that,right,? </u><u> yeah te </u><u> </u><u> you can buy alcohol between ten AM to ten PM in Scottish </u><u> no </u><u> in Scottish shops </u><u> that''s
"Discussing|Explaining|Inquiring|Announcing|Anecdote telling|Making arrangements,politics, house decoration, university, exams, summer plans, travel, family, Scotland, plans for the future, animals, gardens, birds",six foot four or something </u><u> oh really? </u><u> of er American what? </u><u> CEOs are over six foot four or something </u><u> is that,right,? </u><u> </unclea> </u><u> yeah </u><u> cos it inspires confidence in </u><u> that that''s right they have to be able to erm </u><u> yeah </u><u> threaten
"Discussing|Explaining|Inquiring|Announcing|Anecdote telling|Making arrangements,politics, house decoration, university, exams, summer plans, travel, family, Scotland, plans for the future, animals, gardens, birds",<u> oh </u><u> so like they admit that they have nothing there </u><u> right </u><u> ye and you''re not meant to do like a main shop there </u><u> oh is that,right,? </u><u> </u><u> yeah it was really w that that''s so </u><u> well that is exactly what it is </u><u> yeah because they don''t they didn''t even
"Discussing|Explaining|Inquiring|Announcing|Anecdote telling|Making arrangements,politics, house decoration, university, exams, summer plans, travel, family, Scotland, plans for the future, animals, gardens, birds",little magpie that got involved </u><u> oh </u><u> </u><u> what and joined the crows? </u><u> joined the crows and sort of pecking </u><u> oh </u><u> is that,right,? </u><u> yeah </u><u> that''s really bizarre </u><u> quite little but like sort of when a when like a big it''s like little kids fooling fooling
"Discussing|Explaining|Inquiring|Anecdote telling|Making arrangements|Telling jokes,Household matters",birthday is within a certain number of days from your departure </u><u> mm </u><u> but it''s about erm four hundred pounds return </u><u> is that,right,? </u><u> </u><u> mm </u><u> what difference does that make when your birthday is? </u><u> well it''s just an offer </u><u> mm </u><u> </u><u> somebody''s
"Discussing|Explaining|Inquiring|Complaining|Anecdote telling|Making arrangements|Telling jokes,Holidays, TV, food",that do you know </unclea> </u><u> as in a tailor will ask you which way do you dress sir? </u><u> really? </u><u> to the,right,? </u><u> no they wouldn''t </u><u> okay they might have done dec in decades past </u><u> not unless you''ve got very tight trousers </u><u> </u>
"Discussing|Explaining|Inquiring|Complaining|Advising|Announcing|Anecdote telling|Making arrangements|Telling jokes,Food, weekend, work, English counties and places, Halloween parties, future 5-year plans.",n''t out with like and the rest of the group she wasn''t they were all out watching the rugby </u><u> is that,right,? I never really got invited </u><u> yeah they''ve been invited like weeks ago </u><u> awkward </u><u> and then something like on a random Sunday
"Discussing|Explaining|Inquiring,Coffee, driving, Gambia, Munchausen Syndrome, making a donation box, plants, banners, bell ringing",I''m there for six hours on next Wednesday </u><u> oh </u><u> you see </u><u> how do you like your coffee? </u><u> just that''s lovely thank you </u><u> is that about,right,? </u><u> yeah however </u><u> you don''t have the two-grain one? </u><u> no no no no that''s lovely but it''s just a stack of stuff to try and catch up
"Discussing|Explaining|Inquiring,Coffee, driving, Gambia, Munchausen Syndrome, making a donation box, plants, banners, bell ringing",<u> yeah </u><u> I just load them back in </u><u> mm? </u><u> yeah </u><u> oh they moved your post to do that? </u><u> yeah </u><u> yeah </u><u> we got the erm </u><u> that wire </u><u> yeah it''s all up,right,? </u><u> mm </u><u> that''s all done </u><u> mm </u><u> and then when we went away last time about a month ago wasn''t it now? </u><u> mm where were your posts? inside
"Discussing|Inquiring|Complaining|Advising|Requesting|Announcing|Making arrangements,Smoking cigarettes, moving apartments, future plans, university, family, inventory, music, extended family, marriage, living in South Korea, friends, ELT methodology, language, cooking, alcohol, making arrangements, driving, travelling.",hoping that doesn''t open it up to changing times or anything </u><u> no I wondered if they''re set now </u><u> mm </u><u> I mean they''ve got to be set,right,? I guess they could get a different class </u><u> did say as well within the first like few weeks you can change your
"Discussing|Inquiring|Complaining|Advising|Requesting|Announcing|Making arrangements,Smoking cigarettes, moving apartments, future plans, university, family, inventory, music, extended family, marriage, living in South Korea, friends, ELT methodology, language, cooking, alcohol, making arrangements, driving, travelling.",the other beer should be cold now shouldn''t it? </u><u> oh yeah I didn''t put it in the freezer did I? </u><u> it''s been in the fridge though,right,? I''ve turned this thing off though clearly </u><u> it''s still bubbling </u><u> it''s this electric </u><u> yeah </u><u> it </u><u> it''s kind of like storage
"Discussing|Explaining|Inquiring|Advising|Requesting|Anecdote telling,comedy, technology, clearing out, mental illness",bigger screen than this right </u><u> mm </u><u> now this does everything that does and it''s a camera,right,? but it also does phone calls and texts </u><u> well I think I want one of those because I also want to download books </u><u> er well you can
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling,Talking about how much someone likes their job and career professional development ideas. Young people today. Talking about a colleague at work.",they try it out as a product you know check it out it stays or it dies </u><u> but you know these youn the you know these youngsters,right,? these youngsters now the ones I''m talking to they''re probably about tw nineteen twenty twenty-one I think erm I''ve
"Discussing|Explaining|Inquiring|Complaining|Advising|Requesting|Inviting|Announcing|Anecdote telling|Making arrangements,Satnavs, google maps, family, Saudi Arabia, decorating, jobs, friends.",and there''s my little B and B tucked behind right I''m thinking you''ve gotta be shitting me where the hell am I,right,? </u><u> it cost 50 P </u><u> yeah literally so he drops me off </u><u> so is this your work they like stitched you up and got it </u><u> yeah massiv </u><u> cheapo? </u>
"Discussing|Explaining|Inquiring|Complaining|Advising|Requesting|Inviting|Announcing|Anecdote telling|Making arrangements,Satnavs, google maps, family, Saudi Arabia, decorating, jobs, friends.",who have been smoking in the room so I think right I''m gonna go and get some fresh air and I''m gonna go and get some food,right,? so I walk out and I''m thinking this is an industrial estate I have no idea where I''m gonna find any food and like within
"Discussing|Explaining|Inquiring|Complaining|Advising|Requesting|Inviting|Announcing|Anecdote telling|Making arrangements,Satnavs, google maps, family, Saudi Arabia, decorating, jobs, friends.",next door to me the guy that I was working with he hid the we hid the car in the bushes for the start got w went into the hotel,right,? the next minute he knocks on the door his sink has just fallen off the wall </u><u> </u><u> there''s water
"Discussing|Explaining|Inquiring|Announcing,plane journeys, films, Mexico, travel, food, hot sauces, horror movies, haunted house, hotels, tequila",violence it''s just like racial violence </u><u> it''s </unclea> okay </u><u> it''s racial violence </u><u> it''s only he''s a racist,right,? </u><u> yeah </u><u> doesn''t mean we have to agree can''t you just watch it? </u><u> no I know but the then you you feel a bit
"Discussing|Explaining|Inquiring|Complaining|Anecdote telling|Telling jokes,Travel sickness, journalism, Twitter, celebrities, dream-career, fatalism, politicians, TV shows, cuisines, job-prospects, ethnicity, rural-versus-urban life, anatomy",<u> at the horizon and just just look at that </u><u> me me me and are gonna be there for you in the in the plane on Montenegro,right,? </u><u> just yeah well </u><u> </u><u> look at a point and then don''t don''t not look at it </u><u> I don''t think it''s like on planes
"Discussing|Explaining|Inquiring|Complaining|Anecdote telling|Telling jokes,Travel sickness, journalism, Twitter, celebrities, dream-career, fatalism, politicians, TV shows, cuisines, job-prospects, ethnicity, rural-versus-urban life, anatomy",it''s pussy </u><u> b bootcuts oh </u><u> our favourite </u><u> </u><u> boot imagine oh </u><u> seventies basi </u><u> basically cowboy jeans,right,? </u><u> the ones that get wider </u><u> imagine </u><u> no no </u><u> imagine there was </u><u> those those cowboy jeans </u><u> no but they have boots over them </u><u> and he''s
"Discussing|Explaining|Inquiring|Complaining|Anecdote telling|Telling jokes,Travel sickness, journalism, Twitter, celebrities, dream-career, fatalism, politicians, TV shows, cuisines, job-prospects, ethnicity, rural-versus-urban life, anatomy",<u> those those cowboy jeans </u><u> no but they have boots over them </u><u> and he''s wearing bootcuts </u><u> yeah cowboy </u><u> I ain''t no fucking queer,right,? </u><u> go and meet a boy </u><u> that''s a </u><u> and he''s wearing he comes </u><u> er </u><u> dressed in bootcuts </u><u> Heath Ledger </u><u> what else is he wearing then? </u><u> in </u>
"Discussing|Anecdote telling,Holidays, jobs, family, visiting countries",n''t it? and that''s when we go back to work? </u><u> I think so yeah </u><u> yeah yeah should be off anyway </u><u> so is this,right,? is this right we? on the twenty-fourth we come in to work? we don''t we don''t </u><u> no we don I don''t think
"Discussing|Anecdote telling,Holidays, jobs, family, visiting countries",<u> we have to book off the tuesday Wednesday Thursday </u><u> yeah </u><u> and the Friday''s the thirty-first isn''t it? is that,right,? </u><u> uhu </u><u> so we''ve got that off anyway </u><u> yeah and then </u><u> oh no no cos that would mean the Monday''s the third </u>
"Discussing|Telling jokes,Introductions, talking about yourself",How are you planning to get married? </u><u> tut I don''t want to get married </u><u> are you gonna do you c you''re you''re a Hindu,right,? So you have to go round the fire seven times? </u><u> tut nah like I say don''t believe
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,recent week, coffee shops, education, injury solicitors, TV, weather/climate, paganism, magazines, photography, technology, accents, politics, books, de-cluttering, boats, religion, other people, music, ceilidh, copyright, short-stories, psychology, plans for the week ahead, computers, recycling, telephones,",of computers </unclea> arty </unclea> </u><u> it''s when I did general studies A level,right,? one of the questions was er </u><u> </u><u> the camera never lies </u><u> yeah </u><u> discuss yeah you''ve told me that before yeah </u>
