A,B,C,D
"Discussing|Explaining,(Unknown)",windier out there now </u><u> mm mm </u><u> I think it''s the other way round cos the crescent moon I think </u><u> but the other way is,right,</u><u> the crescent moon is the one </unclea> the crescent moon one is I thought was the stronger one </u><u> well
"Discussing|Explaining,(Unknown)",<u> mm thank you thank you ah now those spuds look very good </u><u> mm </u><u> this is the Pulciano isn''t it? is that,right,? this is </u><u> this is the </u><u> yes the </u><u> the </u><u> Pulciano </u><u> Italian </u><u> yeah mm </u><u> mm </u><u> I think you''ll like actually it''s a nice sort of </u>
"Discussing|Explaining,(Unknown)",of tags er tags on and just </u><u> mm </u><u> runs around with it but I did have erm </u><u> do you get duck eggs? </u><u> well I did </u><u> mm </u><u> I did I had a third one </u><u> oh,right,</u><u> which I but I bought this duck from the market which is it was white but it was quite an ugly he was just I can''t remember what
"Discussing|Explaining,(Unknown)",or something </u><u> right the the fellow who did the Mini? </u><u> oh no no sorry I thought you meant Bialetti coffee maker </u><u> yeah </u><u> oh,right,</u><u> no I think it''s Bialetti </u><u> yeah yeah oh right </u><u> but but this has got a lovely weight and </u><u> yeah </u><u> you don''t tend to injure yourself
"Discussing|Explaining,(Unknown)",did the Mini? </u><u> oh no no sorry I thought you meant Bialetti coffee maker </u><u> yeah </u><u> oh right </u><u> no I think it''s Bialetti </u><u> yeah yeah oh,right,</u><u> but but this has got a lovely weight and </u><u> yeah </u><u> you don''t tend to injure yourself with this one </u><u> yeah </u><u> I think people have got
"Discussing|Explaining,(Unknown)",them and </u><u> people dying and things </u><u> who was it who died? </u><u> that are made to go round not going round </u><u> Alan Rickman </u><u> Alan Rickman </u><u> oh,right,</u><u> I love Ala </u><u> do you know him? </u><u> I loved Alan Rickman </u><u> who you may know from who </u><u> he was in </u><u> no you won''t </u><u> Truly Madly Deeply </u><u> yeah </u><u> that
"Discussing|Explaining,(Unknown)",through Mongolia Russia a few of the istans erm and coming down er to Greece planning to be in Greece for Christmas </u><u> oh,right,</u><u> yeah so the idea is that </u><u> mm </u><u> you know we would all be in Greece er if that''s okay I mean in winter er th erm in summer
"Discussing|Explaining,(Unknown)",it''s quite </u><u> yeah </u><u> it''s quite famous for it''s type of dance or something </u><u> yeah </u><u> but it''s the only goldmining in Japan is in </u><u> oh,right,</u><u> Sado so </u><u> oh right yeah </u><u> on on the island of Sado it''s </u><u> yeah </u><u> so we went there and just just didn''t know what was just me and a
"Discussing|Explaining,(Unknown)",ought to start taking up doing </u><u> investigate mm </u><u> what is mudlarking? </u><u> where you scavenge on the edge of the Thames </u><u> oh right oh,right,</u><u> yeah </u><u> yeah in fact </u><u> treasure hunting </u><u> in fact people have found all sorts of quite </u><u> yeah </u><u> very interesting things and </u><u> you
"Discussing|Explaining,(Unknown)",eight hairdressers in there you just go in for a quick cut and I go in and they go next you know and whoever''s available </u><u> yeah,right,</u><u> that''s it </u><u> yeah </u><u> and I go in and go er where''s where''s the girl with the glasses? </u><u> mm </u><u> oh she''s downstairs well I''ll wait for her
"Discussing|Explaining,(Unknown)",years I''ve been going </u><u> so what s so you go to ? </u><u> I go yeah I go to I just hop on a train at and </u><u> oh,right,</u><u> more wine ? </u><u> go up to </u><u> yes please yes </u><u> er for the day er and er go in there and I spend always I mean a
"Discussing|Explaining,(Unknown)",it have </u><u> we we </u><u> to be in all the time? </u><u> yeah we haven''t got the right thing </u><u> it doesn''t it won''t it won''t charge the battery so </u><u> oh,right,</u><u> if it falls out </u><u> you got a </u><u> it dies </u><u> I don''t know why you didn''t buy one from the Apple store </u><u> it''s a rip-off </u><u> they''re terribly
"Discussing|Explaining,(Unknown)",an Apple </u><u> oh see </u><u> Air </u><u> it''s very flash </u><u> mm it''s lovely </u><u> very nice </u><u> mm yeah </u><u> we met someone else who liked Hinterland at the party </u><u> oh,right,? </u><u> big fan of Hinterland loves Hinterland and er </u><u> who was that? </u><u> you know the loud drunk man? </u><u> oh yes </u><u> yeah </u><u> yes </u><u> </u><u> did
"Discussing|Explaining,(Unknown)",''s to him </u><u> yeah </u><u> so what does er next door feed his cats? </u><u> I think it''s Felix </u><u> it''s Felix and </u><u> what whatever he ge oh,right,</u><u> he''s a vegan but it''s not erm I mean I wouldn''t expect him obviously his cats to be vegan </u><u> you can''t feed a cat </u><u> but er </u><u> yeah </u><u> he
"Discussing|Explaining,(Unknown)",<u> browny black that''s erm </u><u> oh </u><u> that''s </u><u> yeah </u><u> oh is that the one that? </u><u> argues with </u><u> oh,right,</u><u> yeah keeps out of everything </u><u> does he? </u><u> yeah </u><u> yeah doesn''t get involved as </u><u> </u><u>
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",offspring </u><u> if you''re not prepared to do any work in here then I can understand why you''ve been told you''re not staying </u><u> oh,right,</u><u> and and he went no I can''t stay to any of them and looked at me and I went yeah I said that''s what I said </u>
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",about </u><u> about five miles away </u><u> about ten miles was </u><u> that was that was the hospital </u><u> was that the hospital was it? oh,right,</u><u> mm and yeah so we we phoned up there for her cos she was </u><u> yeah she was in a bad way she was crying </u><u> and they got an appointment
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",didn''t get picked up until half past eleven quarter to twelve last week cos she had some work to do some art work to do </u><u> oh,right,</u><u> erm I took over at eight o''clock in the morning and they took four horses that day to the show </u><u> yeah </u><u> and
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",and they took four horses that day to the show </u><u> yeah </u><u> and rode two in the rode two different horses there </u><u> oh,right,</u><u> wow </u><u> so she got a clear round and she got third </u><u> did she? </u><u> oh </u><u> well that''s good </u><u> yeah </u><u> erm which was which was alright </u><u> mm </u>
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",no not really cos you''ve got to get up for work early on Sunday cos she''s working Saturday and Sunday this week </u><u> is she? </u><u> mm oh,right,</u><u> I said and it means that you know if your mum''s picking you up at quarter to ten </u><u> yeah </u><u> half nine quarter to ten I said no you you
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",erm I cos I don''t I don''t really speak to erm and ''s still on maternity leave </u><u> oh,right,</u><u> and er she cos she was supposed to come back at Christmas she was supposed to come back at
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",<u> mm </u><u> what you got planned et cetera and but her job''s protected </u><u> is it? </u><u> cos she''s on maternity leave you can''t touch her </u><u> oh,right,</u><u> oh </u><u> so that''s why she''s done it then? </u><u> can''t can''t </u><u> but she she should have been back earlier so </u><u> yeah so she should have been
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",there was a big like artesian is that the word I''m looking for? yeah but that''s different and old French glass makers </u><u> oh,right,</u><u> in the North York moors </u><u> oh </u><u> who moved out ar artisans who moved from France because they were being persecuted </u><u> oh right </u><u> and
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",<u> oh right </u><u> in the North York moors </u><u> oh </u><u> who moved out ar artisans who moved from France because they were being persecuted </u><u> oh,right,</u><u> and came up to North Yorkshire and did their glassblowing and stuff all in North York moors and the and they if you look
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",moors and the and they if you look along this one track in Rosedale you can find bits of glass that they made and stuff </u><u> oh,right,</u><u> and how they made it </u><u> oh crikey </u><u> oh </u><u> but there is a at Rosedale now there is a glass making work erm </u><u> yeah </u><u> little business type
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",you need no ITV four </u><u> ITV four yeah </u><u> yeah they will have the cycling on </u><u> yeah </u><u> right </u><u> and it''s starting at Bridlington </u><u> oh,right,</u><u> that''s where my aunt used to live </u><u> mm </u><u> the first day is Bridlington to Scarborough but they''re going to Whitby and
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",ne I need to check the route cos the ca they can''t go down and come up cos you have to come up the same way in Robin Hood''s bay </u><u> oh,right,</u><u> right </u><u> yeah </u><u> so it would be stu it would be it would be stupid to be going down no they can''t do that so they''ll probably go
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",for it? </u><u> well no I I I had somebody called whose husband is in the mountain rescue </u><u> oh,right,</u><u> er her husband they''re going to Marrakesh this week </u><u> oh </u><u> and she sent me a message saying did I want to stay at theirs? </u><u> oh that
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",might he might be doing a couple of days of supply work for so </u><u> yeah </u><u> mm </u><u> it''s funny all the bu all ran out ran out of everything,right,? they''d ate everything and yet as soon as you put something down they''re all back in </u><u> come back in yeah </u><u> mm </u><u> mm it
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",it''s not </u><u> do you want a big bag or a little bag? </u><u> that''s about five kilo innit? </u><u> well I buy a twelve and a half kilo bag </u><u> do you? oh,right,</u><u> from from Jolly''s </u><u> do you yeah? </u><u> I go to Jolly''s an buy a twelve and a half kilo bag </u><u> that''s a bigger </u><u> yeah it is </u><u> how much is that? </u>
"Discussing|Explaining|Complaining,Health, politics, finance, TV",''s best </u><u> yeah </u><u> for them </u><u> yeah </u><u> not to like </u><u> but the trouble is </u><u> not to think for themselves </u><u> when these experts um </u><u> if they get it,right,</u><u> get in positions of extreme power like </u><u> mm </u><u> er what''s happened now I mean you''re y y you''re trusting people who
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",and work </u><u> cos you have Fridays off don''t you? so s </u><u> yeah you see I have Fridays </u><u> I suppose you have the long weekend </u><u> yeah that''s,right,</u><u> which is fantastic </u><u> yeah </u><u> isn''t it really? </u><u> yeah and ''s been trying with his work if possible not to
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",<u> are you on anything else? </u><u> erm I I I have take a and I can''t remember what it''s called but it''s er for IBS erm occasionally </u><u> oh,right,</u><u> yeah </u><u> yeah is it like Buscopan? </u><u> no it''s erm it''s a doctor prescribed one </u><u> oh okay </u><u> erm I ca I keep going to sa I know it''s not
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",''s ? is he okay? </u><u> yeah all good though he''s going away tomorrow to Afghan for six weeks </u><u> is he? </u><u> yeah </u><u> oh,right,</u><u> but it''s the last time </u><u> right </u><u> they''re all coming out so that''s good </u><u> mm hm and what is it he he does? </u><u> er aircraft
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",time </u><u> right </u><u> they''re all coming out so that''s good </u><u> mm hm and what is it he he does? </u><u> er aircraft engineer </u><u> that''s,right,</u><u> yeah </u><u> cos I know before he''s had he''s been like w working away backwards and forwards on and off and stuff like that hasn''t
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",on and off and stuff like that hasn''t he? </u><u> yeah he did a course for quite a while where he was down in </u><u> that''s,right,</u><u> with to do with the RAF </u><u> mm </u><u> and but erm yeah I don''t know if he''ll be posted next year he might be </u><u> right </u><u> hopefully
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",now </u><u> what''s up to now? cos she''s was </u><u> er yeah she''s erm she was at the call centre </u><u> that''s,right,</u><u> and she was there for about three years </u><u> yeah </u><u> er </u><u> did she er didn''t she get a new job? </u><u> yeah she''s at the now </u><u> ah she''s
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",was eighty-eight and </u><u> was that the funeral you had to go to? </u><u> no that''s erm that er that''s coming up on Friday </u><u> oh,right,</u><u> yeah that''ll be the fifth one this year </u><u> </u><u> it''s </u><u> what? </u><u> er yeah we''ve had a real run of just </u><u> oh no </u><u> yeah
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",<u> in there </u><u> yeah </u><u> that could be a little bit erm bunged up </u><u> yeah </u><u> erm bowels I found bowels </u><u> did you? </u><u> were quite yeah </u><u> oh,right,</u><u> they were quite erm crunchy </u><u> yeah </u><u> so unless it could be because you''re maybe digesting your breakfast? could
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",<u> into the body again and they''re swimming all around </u><u> yeah </u><u> you will you can or will have a crashing headache </u><u> yeah no that''s,right,</u><u> and it''s not pleasant </u><u> er I always drink loads of water anyway so </u><u> great stuff </u><u> yeah it''s yeah </u><u> so you can do that erm </u><u> mm </u><u> I don''t
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",afterwards </u><u> mm </u><u> or most of the time people come away feeling really relaxed </u><u> yeah </u><u> but just go with the flow </u><u> yeah that''s,right,</u><u> erm I think your body will take from it whatever it needs to </u><u> mm yeah </u><u> erm so yeah just try and
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",that''s the worst thing </u><u> need them though don''t we? </u><u> yeah mm </u><u> this is the trouble </u><u> mm </u><u> can''t do without them </u><u> ah </u><u> put that away </u><u> oh,right,</u><u> and hopefully should feel like you''re walking on air </u><u> ah yes that''s why I brought brought my flip flops to go
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",via your hands </u><u> mm </u><u> so placing you can either place your hands on the recipient directly or you can just raise them above </u><u> oh,right,</u><u> and erm oh you just the heat that you feel comes out </u><u> I get the heat er </u><u> do you? </u><u> yeah w in </u><u> you see I think people </u>
"Discussing|Explaining|Complaining|Anecdote telling|Telling jokes,Food, family, friends, diet, comics, school",like is that a good idea? and I and I was like okay </u><u> how old were you? </u><u> no it was it was probably like last year or something </u><u> oh,right,</u><u> and she got it and I tried all of the cheese and it all taste horrible it tastes all of it tastes as bad as it smells </u><u> yeah </u><u> I love
"Discussing|Explaining|Inquiring|Anecdote telling,Art course running at the time, plus old issues concerning old college.",to go abroad in the summer was it Africa you used to go? </u><u> I I''ve I used to go everywhere but I I''ve been going to Jamaica a lot </u><u> oh,right,</u><u> where I''ve been teaching </u><u> yeah </u><u> on on on a on these yoga retreats really </u><u> oh yes yeah </u><u> but I don''t teach the yoga but erm </u><u> no no </u><u> and
"Discussing|Explaining|Inquiring|Anecdote telling,Art course running at the time, plus old issues concerning old college.",<u> er </u><u> were you teaching out there? </u><u> no I w no I I went over for there''s this huge big student competition now </u><u> oh,right,</u><u> for painters under twenty-five art students </u><u> right </u><u> and it takes place at the </u><u> right </u><u> which is a big student
"Discussing|Explaining|Inquiring|Anecdote telling,Art course running at the time, plus old issues concerning old college.",other places and erm it''s painters and you just choose the one you think is the best </u><u> oh,right,</u><u> and you go around and you put your erm your selection in a box and then you have this extraordinary
"Discussing|Explaining|Inquiring|Anecdote telling,Art course running at the time, plus old issues concerning old college.",about f four hours </u><u> really? </u><u> oh champagne and and oysters and salmon and and then the one who gets the most votes wins </u><u> yeah oh,right,</u><u> and gets twenty thousand pounds </u><u> goodness </u><u> and an exhibition </u><u> oh right </u><u> for the well if we''d have still been erm around </u><u> yes </u><u> we
"Discussing|Explaining|Inquiring|Anecdote telling,Art course running at the time, plus old issues concerning old college.",and then the one who gets the most votes wins </u><u> yeah oh right </u><u> and gets twenty thousand pounds </u><u> goodness </u><u> and an exhibition </u><u> oh,right,</u><u> for the well if we''d have still been erm around </u><u> yes </u><u> we''d have done it </u><u> yes yeah </u><u> in fact did it </u><u> right </u><u> the year after
"Discussing|Explaining|Inquiring|Anecdote telling,Art course running at the time, plus old issues concerning old college.",<u> but but that would erm need some more accommodation which they''ve </u><u> right </u><u> possibly acquired this huge place opposite </u><u> oh,right,</u><u> yeah but that wouldn''t be anything to do with me I''ve really I don''t know I''m very much an integral part I just really got
"Discussing,meeting; making arrangements for going to local dramatic performance; discussing",</u><u> ah I got the </unclea> I have to stop </u><u> </u><u> good for you? yeah for you,right,</u><u> </u><u> oh maybe I should drink more herbal teas for her </u>
"Discussing|Explaining|Anecdote telling,Music, elitism, magazines, dreams, Christmas dinner",yeah if you''ve got a short cos I had a short wave one but I got one where you typed in the frequencies and um </u><u> ah,right,</u><u> uh yeah it was nowhere near as good cos it didn''t have the the like the the precise um ability to change </u><u> yeah </u><u> oh
"Discussing|Explaining|Anecdote telling,Music, elitism, magazines, dreams, Christmas dinner",to America </u><u> might not be </u><u> it is yeah and they married two sisters and they had like one had ten kids and one had eleven kids </u><u> oh,right,</u><u> and every year like they have like annual reunions and there was like seven thousand people go cos they all
