A,B,C,D
"Discussing|Explaining,Lego Ninjago, Minecraft worlds",hello my baby hello my honey </u><u> no hello my honey hello my baby </u><u>,right,scrambled eggs for you it''s alright I''ll do that sit down </u><u> okay </u><u> okay hello my baby
"Discussing|Explaining,Lego Ninjago, Minecraft worlds",legend </u><u> he''s a Minecraft legend is he the person that invented Minecraft? </u><u> er no that''s Jeb and Notch added stuff to it </u><u>,right,</u><u> but like people erm are amazed by stuff but he''s a Minecraft master </u><u> okay </u><u> he meant to give himself a special
"Discussing|Explaining,Lego Ninjago, Minecraft worlds",''s another good reason cos if hadn''t spawned on my spawning point </u><u> mm </u><u> he would never be able to fo find my island </u><u>,right,</u><u> and because I when I started off at my spawn point </u><u> mm </u><u> it was an island then I found out how to fly but I didn''t know how to get
"Discussing|Explaining,Lego Ninjago, Minecraft worlds",and managed to found to find a village and then I went across a load of load of loa loads and loads and loads of other places </u><u>,right,</u><u> and then finally once I </unclea> I made a house </u><u> good wow </u><u> he would never be able to find it cos it''s unlimited
"Discussing|Explaining,Lego Ninjago, Minecraft worlds",would you like to be my little cheflet ? </u><u> I''m the top cheflet </u><u> you''re the </u><u> top cheflet </u><u> the top cheflet </u><u>,right,let''s go and make us some pizzas </u><u> let''s mm mamma mia pizza </unclea> </u><u> so wo wo will people not be making their own
"Discussing|Explaining|Inquiring|Advising|Annecdote telling|Making arrangements,food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy",Greece they did that as well people would be going out to have a coffee at like ten PM eleven PM as a social thing you know so </u><u>,right,</u><u> mm interesting </u><u> it''s not really alcohol-orientated I mean people go out and party and like that''s what he did when he was
"Discussing|Explaining|Inquiring|Advising|Annecdote telling|Making arrangements,food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy",didn''t we? </u><u> yes but I also often felt more at home </u><u> mañana </u><u> wha because I I felt more secure like I knew what I was doing </u><u>,right,</u><u> you know when we would go out when we went on holiday to France we''d go out in the afternoon and Spain to buy food for our
"Discussing|Explaining|Inquiring|Advising|Annecdote telling|Making arrangements,food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy",too much and you know realised that that was really what was important to them overall in terms of their retirement </u><u>,right,</u><u> mm </u><u> so they moved back to England but they moved to De </u><u> moved to Devon for the weather </u><u> which is really far away
"Discussing|Explaining|Inquiring|Advising|Annecdote telling|Making arrangements,food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy",''s right </u><u> erm we had we were laughing about it they I think have to provide a er oil radiator for her parents in the bedroom </u><u>,right,</u><u> cos they just won''t put up with it </u><u> no ever likely they won''t </u><u> but they both quite often go away for the weekend I think they go
"Discussing|Explaining|Inquiring|Advising|Annecdote telling|Making arrangements,food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy",put up with it </u><u> no ever likely they won''t </u><u> but they both quite often go away for the weekend I think they go down to </u><u>,right,</u><u> or wherever you know erm that''s where their friends are and stuff they kind of wanted to have it that way round </u><u> so where is
"Discussing|Explaining|Inquiring|Advising|Annecdote telling|Making arrangements,food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy",incline you should walk at a pace that you feel that you''re not walking on an incline meaning you should keep a continuous </u><u>,right,</u><u> you know so that''s the way t to build the overall stamina is that you don''t charge up the hills at the same pace as </u><u> I think
"Discussing|Explaining,(Unknown)",<u> yes </u><u> it was </u><u> yeah </u><u> chilling </u><u> yeah what''s the the wine that is drinking the white one? </u><u> oh I don''t know </u><u> it''s very nice </u><u>,right,if I could have you please darling </u><u> I don''t know don''t know is that </u><u> mm </u><u> a French one? </u><u> yeah </u><u> yeah it''s one of yours </u><u> it
"Discussing|Explaining,(Unknown)",the key was there and everything it''s all in the hole </u><u> oh right yeah </u><u> you know so </u><u> the little black key that you were usi </u><u> yeah </u><u>,right,yeah </u><u> so it''s all there </u><u> and are there two two pipes </u><u> I d if </u><u> lead off to? </u><u> I don''t I well I don''t know cos there is a meter so I don''t
"Discussing|Explaining,(Unknown)",my working life in this country was spent in boarding schools so you know I lived above the shop the whole time </u><u>,right,you didn''t have to worry about </u><u> no travelling at all </u><u> yeah </u><u> yeah and out in of course </u><u> oh </unclea> </u><u> I
"Discussing|Explaining,(Unknown)",in Greece at the minute actually </u><u> mm </u><u> yeah </u><u> are you going to watch it then or? </u><u> no I I''ll watch it on Iplayer when I go back home </u><u>,right,</u><u> yeah cos I it''s it''s a BBC it''s on at eight o''clock so I said well that won''t work for for me here because er we''ll be eating
"Discussing|Explaining,(Unknown)",watch it on Iplayer but cos er some of the Greek islands Lesbos the the population on the island has almost been doubled </u><u>,right,yeah yeah </u><u> by the presence of all sorts of people </u><u> mm </u><u> you know yes yeah </u><u> I expect the er the tourist industry will
"Discussing|Explaining,(Unknown)",? this is </u><u> this is the </u><u> yes the </u><u> the </u><u> Pulciano </u><u> Italian </u><u> yeah mm </u><u> mm </u><u> I think you''ll like actually it''s a nice sort of </u><u>,right,I need someone to serve plates </u><u> </u><u> oh now look he''s even made made stuffing balls </u><u> mm </u><u> clever lad he is you do a lot of
"Discussing|Explaining,(Unknown)",and you get carrots and then well then you''re gonna put that on my plate there </u><u> mint sauce important </u><u> thank you </u><u> thank you </u><u>,right,could we have the salt mummy? it''s in the top right cupboard in a tall squirty thing not squirty grindy thing
"Discussing|Explaining,(Unknown)",of lamb actually </u><u> it''s lovely </u><u> yeah </u><u> it''s very good </u><u> where did you get the lamb from? </u><u> that was from erm Aldi </u><u> Aldi </u><u> mm </u><u>,right,</u><u> I picked it up on on the way here cos you know I went down to that that store </u><u> yeah </u><u> actually to get wood came back
"Discussing|Explaining,(Unknown)",I did </u><u> yeah we put it back in the oven </u><u> mm </u><u> well weirdly it was the breast that was underdone and the legs and thighs were fine </u><u>,right,</u><u> just shows how odd our oven is </u><u> hopefully you like your lamb rare ? </u><u> yeah oh yeah </u><u> yeah </u><u> yeah I like my beef as well
"Discussing|Explaining,(Unknown)",designer as my timer </u><u> yes it''s an Italian one isn''t it? </u><u> yeah </u><u> erm </u><u> is it the man who did the? </u><u> it''s his </u><u> no </u><u> grandson or something </u><u>,right,the the fellow who did the Mini? </u><u> oh no no sorry I thought you meant Bialetti coffee maker </u><u> yeah </u><u> oh right </u><u> no I think it''s
"Discussing|Explaining,(Unknown)",so we''re gonna keep the kitchen where it is but just knock a big hole through the wall to it brings it into the sitting room </u><u>,right,yes yes </u><u> so </u><u> yeah but as you say it''s only after you''ve lived there for a for somehow that you can </u><u> mm </u><u> get the feel of the place </u>
"Discussing|Explaining,(Unknown)",he''s a real perfectionist what they''ve done is he''s taken out the seats in the back and he''s built er a bed platform with </u><u>,right,</u><u> drawers on rollers underneath and all sorts of things erm and they''re driving back from Japan through Mongolia Russia a
"Discussing|Explaining,(Unknown)",sleep on the terraces anyway in winter what what we will do is we''ll borrow one of a ou our neighbour''s houses you know and </u><u>,right,yeah yeah </u><u> you know just can we can we borrow your bedroom for the next week? </u><u> mm </u><u> yeah which is er er and er yeah so so and I
"Discussing|Explaining,(Unknown)",to Japan left at midday </u><u> mm </u><u> erm but we stayed the previous night in a hotel </u><u> mm </u><u> you know so you know talk about cushy journey </u><u>,right,</u><u> you know the made it as easy as possible er and er it it was fine particularly if you do it in one er you know on the same on one
"Discussing|Explaining,(Unknown)",I''m not hanging around in Tokyo I cos I''d been before and I''d seen quite a lot of it so </u><u> mm </u><u> I I got on the Shinkansen and then </u><u>,right,</u><u> and went and I I was sort of spoke to one of our interpreters and I said well where would you recommend? and he said well
"Discussing|Explaining,(Unknown)",is different so I I went right the way across to the other side of the Japan </u><u> yes </u><u> to </u><u> yeah </u><u> to erm Sado </u><u> yeah </u><u> the other end of Sado? </u><u>,right,yeah </u><u> and apparently that''s the best ri that''s where the best rice comes from </u><u> right yeah </u><u> well that area </u><u> yeah </u><u> and then we
"Discussing|Explaining,(Unknown)",<u> to erm Sado </u><u> yeah </u><u> the other end of Sado? </u><u> right yeah </u><u> and apparently that''s the best ri that''s where the best rice comes from </u><u>,right,yeah </u><u> well that area </u><u> yeah </u><u> and then we went got on a ferry and went across to the island and it''s quite </u><u> yeah </u><u> it''s quite famous
"Discussing|Explaining,(Unknown)",but one to our house in in I think retired </u><u> mm </u><u> from that life but I think she was with the actually not </u><u>,right,</u><u> yeah </u><u> mm </u><u> yeah </u><u> </unclea> it''s it''s such a small world I mean I was er sat in the green room last night
"Discussing|Explaining,(Unknown)",we had amazing lot of links with each other but er yeah </u><u> </u><u> it al it always does to talk to strangers </u><u>,right,</u><u> I think it''s a very </u><u> yeah I''m ve I''m very good at that </u><u> very good at it you are too </u><u> I think that it </u><u> I got
"Discussing|Explaining,(Unknown)",a very trying day what with the wind </u><u> mm </u><u> and the rain </u><u> mm yes </unclea> </u><u> so </u><u>,right,</u><u> I </unclea> </u><u> so she has booked into somewhere has she? she''s </u><u> oh yeah yeah </u><u> yeah yeah </u><u> yeah </u><u> what are
"Discussing|Explaining,(Unknown)",could be Ian McKellen </u><u> mm </u><u> or are we just gonna name gay actors? but it''s it''s one that''s </u><u> I think it is Ian McKellen actually </u><u>,right,on the waterfront </u><u> I think I I seem to know that </u><u> is that Gandalf? does Ian McKellen </u><u> er </u><u> play Gandalf? </u><u> </u><u> in Lord of
"Discussing|Explaining,(Unknown)",? </u><u> </u><u> in Lord of the Rings? </u><u> yes </u><u> so </u><u> mm I f first saw Ian McKellen in nineteen sixty when he was twenty or something </u><u>,right,</u><u> that was probably also the last time you saw him darling </u><u> oh no no no cos he''s one of my favourite actors
"Discussing|Explaining,(Unknown)",erm Edward the second and Richard the second in tandem throughout the three-week period and he was playing both leads </u><u>,right,</u><u> I mean unbelievable actually I mean it was unbelievable as a simple memory exercise you know </u><u> mm </u><u> halfway through Edward
"Discussing|Explaining,(Unknown)",him quickly what does he look like? </u><u> oh I dunno you you would he''s done all sorts of things like </u><u> yeah you''d know </u><u> Morse </u><u>,right,I''m </u><u> have you heard of darling? </u><u> Ian McKellen? </u><u> no Ian McDiarmid </u><u> Ian McDiarmid </u><u> Ian McDiarmid </u><u> I probably have I think I''ve
"Discussing|Explaining,(Unknown)",had the same hairdresser </u><u> random really </u><u> for years now w I I </u><u> it''s terrible because </u><u> at thirty-five pounds a shot </u><u> I usually </u><u>,right,</u><u> yeah </u><u> find someone and then they move to Italy or something </u><u> yeah no well that''s it </u><u> it''s really annoying </u><u> that''s why I''m
"Discussing|Explaining,(Unknown)",clean teeth and they prod teeth and they and and then what they''ve done gets checked out by the the teacher the lecturer </u><u>,right,</u><u> the professor actually erm I mean it''s marvellous mind you I pay a ha''penny for that </u><u> exactly and you get a better </u><u> you know
"Discussing|Explaining,(Unknown)",<u> you know yeah </u><u> a better service </u><u> ye oh yes yes and for something like a return ticket cost me about twelve pounds whereas </u><u>,right,</u><u> erm what they do would cost me about a hundred pounds in our local dentist </u><u> no exactly yeah </u><u> and it''s such fun because </u><u> yeah </u>
"Discussing|Explaining,(Unknown)",said said y you know h a and it''s all it''s like a dormitory in the sense that there are alcoves with erm the dental equipment </u><u>,right,</u><u> and there''s somebody there so you can see the patient I mean there''s a patient sitting as near to you as I am </u><u> okay </u><u> erm and I
"Discussing|Explaining,(Unknown)",just thought about it really </u><u> yeah </u><u> but you know I''m not but we''re talking like sackfuls of kindling </u><u> yeah </u><u> and I was just like </u><u>,right,</u><u> I couldn''t really carry sackfuls back </u><u> no no </u><u> no no not if you </u><u> not on a bus </u><u> no </u><u> yeah and you don''t take the van </u><u> on the bus you know </u>
"Discussing|Explaining,(Unknown)",really carry sackfuls back </u><u> no no </u><u> no no not if you </u><u> not on a bus </u><u> no </u><u> yeah and you don''t take the van </u><u> on the bus you know </u><u> </u><u>,right,</u><u> but if I w if I was driving in </u><u> in your van yeah </u><u> yeah </u><u> I would have just </u><u> load it up </u><u> I would load it up and just just bring it but </u><u> mm </u>
"Discussing|Explaining,(Unknown)",''s about that much </u><u> ye </u><u> bit small I think he </u><u> he is his father''s son you see in certain elements still </u><u>,right,okay remind </unclea> he needs to go to the shed and find the skirting board </u><u> board sample </u><u> so that you can take
"Discussing|Explaining,(Unknown)",of the alcove like that and there''s one for that and one for that and one for that and one for that and they fold all back </u><u>,right,and and </u><u> so you can have a </u><u> rest where? </u><u> against against </u><u> the wall? </u><u> the wall </u><u> yeah </u><u> erm but they''re also louvred </u><u> oh right yeah </u><u> so
"Discussing|Explaining,(Unknown)",<u> mm </u><u> and then it almost looks worse if there''s a little stretch you can''t get so you''ve got clean and then a revolting stripe </u><u>,right,</u><u> yes yeah then you''re really aware of it </u><u> then you''re suddenly </u><u> yes yeah </u><u> that they are </u><u> yeah whereas if they''re just dirty </u>
"Discussing|Explaining,(Unknown)",to watch </u><u> I tend to fall asleep quite rapidly </u><u> he keeps falling asleep </u><u> is that cos it''s boring or I''m tired? </u><u> no you''re tired </u><u>,right,no I I said I''ll catch up on it when gets back I think </u><u> got to do his impression again he got to do his
"Discussing|Explaining,(Unknown)",out of his pockets </u><u> </u><u> Mared gives him a pair of blue gloves to put on </u><u> yes or it''s to get his torch out </u><u> mm </u><u>,right,what would you like? </u><u> has left me both his rugs yeah yeah </u><u> mm well I might
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",yeah it''s a really and there''s about a loo to every room anyway whether they''re en suite or around the rest of the hostel </u><u>,right,</u><u> there''s loads aren''t there? loads of loos </u><u> yeah there is yeah </u><u> yeah we kind of had to count them up half the time go around mm </u>
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",in the country but it''s the highest lighthouse in the country because </u><u> mm </u><u> it''s right on top of the highest cliff </u><u>,right,okay so the cliff gives it its height </u><u> the cliff gives it its height and the lighthouse is the shortest one so </u>
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",last night with and then I picked em up from the Chinese cos they got themselves a Chinese take away </u><u> did they? </u><u>,right,</u><u> </unclea> Chinese take away and then I picked em up and they came back and well I went to bed at round about half
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",watch Channel four cos you don''t have Eurosport you need no ITV four </u><u> ITV four yeah </u><u> yeah they will have the cycling on </u><u> yeah </u><u>,right,</u><u> and it''s starting at Bridlington </u><u> oh right </u><u> that''s where my aunt used to live </u><u> mm </u><u> the first day is Bridlington to
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",''s where my aunt used to live </u><u> mm </u><u> the first day is Bridlington to Scarborough but they''re going to Whitby and Pickering </u><u>,right,</u><u> oh yeah </u><u> it''s an up because I know the route well I know that area and I know where they''re going </u><u> yeah </u><u> mm </u><u> and they are going to
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",to check the route cos the ca they can''t go down and come up cos you have to come up the same way in Robin Hood''s bay </u><u> oh right </u><u>,right,</u><u> yeah </u><u> so it would be stu it would be it would be stupid to be going down no they can''t do that so they''ll probably go round a
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",as such today well she is riding she''ll she''ll sort the horses out do the field go for a hack do a bit of jumping and then </u><u> yeah </u><u>,right,</u><u> be all </u><u> mm </u><u> and ''s working both days this week </u><u> is she? </u><u> and it''s Sage weekend this weekend
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",a bit more part of the village you know </u><u> yeah being </u><u> and you </u><u> yeah </u><u> the little bits yeah </u><u> yeah that was quite nice wasn''t it? </u><u> mm </u><u>,right,so do you want a bag of seed? </u><u> yes I want a bag of seed </unclea> </u><u> right I''ll get you some money then </u><u> well give it
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",yeah </u><u> yeah that was quite nice wasn''t it? </u><u> mm </u><u> right so do you want a bag of seed? </u><u> yes I want a bag of seed </unclea> </u><u>,right,I''ll get you some money then </u><u> well give it when you get back when I come back </u><u> okay </u><u> and if if the seed I get has got aniseed in it </u>
"Discussing|Explaining|Complaining,Health, politics, finance, TV",innit? </u><u> mm </u><u> it''s all we had that ain''t processed that''s ''s own cooking </u><u> </u><u> ''s own cooking </u><u>,right,so what did you say? </u><u> well I sent I sent a text I put um hang on let me find it I se I sent one yesterday as
"Discussing|Explaining|Complaining,Health, politics, finance, TV",years? I mean </u><u> yeah well they said people with that kind of disease they only </u><u> yeah </u><u> once they''re diagnosed then </u><u>,right,</u><u> generally they last about ten years </u><u> yeah but like when my brother was born they said um he''s got one day then he
"Discussing|Explaining|Complaining,Health, politics, finance, TV",do with </u><u> contribute </u><u> chlamydia </u><u> to having cervical cancer? </u><u> I don''t know but I I''m pretty sure it''s the cervical cancer jab </u><u>,right,</u><u> that''s I don''t know what it does I don''t even know how they can stop the mutation of cells from happening </u><u> well
"Discussing|Explaining|Complaining,Health, politics, finance, TV",that was a bit weird about Barclays having to it''s not just Barclays having to pay back all of those insurance things </u><u>,right,</u><u> but I don''t really understand that because surely if somebody bought insurance and if they''re stupid
"Discussing|Explaining|Complaining,Health, politics, finance, TV",er yeah and the the er getting all the parts made by other people </u><u> </u><u> hopefully it will be local people </u><u>,right,</u><u> but they think it''s gonna be abroad and it''s like </u><u> yeah </u><u> hang on a minute you either bring like the
"Discussing|Explaining|Complaining,Health, politics, finance, TV",sleeping </u><u> yeah </u><u> is it beta? </u><u> or theta theta </u><u> I can''t remember but it makes you </u><u> alpha is awake beta is </u><u>,right,I can''t remember which one it is but it puts you in the </u><u> it''s either beta or theta </u><u> same when you are
